0.749877, -0.248109, 1.443274
0.749877, -0.248109, 2.382966
0.386986, 0.095854, 2.382966
0.386986, 0.095854, -2.921130
0.318011, 0.080397, -2.921130
0.318011, 0.080397, -2.135784
0.318011, 0.080397, -1.819234
0.318011, 0.080397, -1.316305
0.318011, 0.080397, -0.870722
0.318011, 0.080397, -0.392538
0.318011, 0.080397, 0.330573
0.318011, 0.080397, 1.296403
0.451613, 0.555013, 1.296403
0.451613, 0.555013, 0.249221
0.451613, 0.555013, 1.166694
0.648210, 1.014742, 1.166694
0.648210, 1.014742, 2.057027
0.414562, 1.456793, 2.057027
0.414562, 1.456793, 3.063692
0.253171, 1.469391, 3.063692
